"step","time","part","epoch","loss","lr","segmentation_miou","segmentation_dice"
2880,"2024-08-13 19:32:02.271701","train",0,0.6424254775047302,2.0740187672230927e-05,"",""
3000,"2024-08-13 19:33:26.307677","train",0,0.5959620475769043,2.2084560282722277e-05,"",""
3120,"2024-08-13 19:34:50.335835","train",0,0.6300736665725708,2.346550288563226e-05,"",""
3240,"2024-08-13 19:36:14.372066","train",0,0.6037695407867432,2.4880972180857904e-05,"",""
3267,"2024-08-13 20:06:58.692289","train",0,"","",0.5730525833114704,0.7280423234353417
3267,"2024-08-13 20:10:25.117736","val",0,"","",0.5749611080396618,0.729563159741238
3360,"2024-08-13 20:11:32.277980","train",1,0.6094808578491211,2.6328873781166463e-05,"",""
3480,"2024-08-13 20:12:56.349905","train",1,0.6160047054290771,2.78070653111379e-05,"",""
3600,"2024-08-13 20:14:20.462456","train",1,0.5858356952667236,2.9313359577112594e-05,"",""
3720,"2024-08-13 20:15:44.536314","train",1,0.5272881388664246,3.0845527803454046e-05,"",""
3840,"2024-08-13 20:17:08.665249","train",1,0.5027644038200378,3.240130293033804e-05,"",""
3960,"2024-08-13 20:18:32.739457","train",1,0.5314064621925354,3.397838296818857e-05,"",""
4080,"2024-08-13 20:19:56.875160","train",1,0.48917198181152344,3.55744344037974e-05,"",""
4200,"2024-08-13 20:21:20.998175","train",1,0.48849424719810486,3.7187095653087225e-05,"",""
4320,"2024-08-13 20:22:45.036189","train",1,0.49998921155929565,3.881398055540968e-05,"",""
4440,"2024-08-13 20:24:09.070713","train",1,0.4411412179470062,4.045268190420787e-05,"",""
4560,"2024-08-13 20:25:33.148294","train",1,0.4384610056877136,4.210077500881931e-05,"",""
4680,"2024-08-13 20:26:57.240553","train",1,0.4136618971824646,4.3755821282149036e-05,"",""
4800,"2024-08-13 20:28:21.348567","train",1,0.43045341968536377,4.541537184890449e-05,"",""
4920,"2024-08-13 20:29:45.334162","train",1,0.49316391348838806,4.7076971169053286e-05,"",""
5040,"2024-08-13 20:31:09.344625","train",1,0.4006311893463135,4.873816067114224e-05,"",""
5160,"2024-08-13 20:32:33.461533","train",1,0.40102308988571167,5.03964823901021e-05,"",""
5280,"2024-08-13 20:33:57.666878","train",1,0.4148035943508148,5.204948260415474e-05,"",""
5400,"2024-08-13 20:35:21.818228","train",1,0.5052530765533447,5.369471546544198e-05,"",""
5520,"2024-08-13 20:36:45.975369","train",1,0.4042186439037323,5.5329746619003864e-05,"",""
5640,"2024-08-13 20:38:10.071322","train",1,0.3770623207092285,5.695215680475138e-05,"",""
5760,"2024-08-13 20:39:34.145702","train",1,0.3601658344268799,5.8559545437104356e-05,"",""
5880,"2024-08-13 20:40:58.143359","train",1,0.3709186017513275,6.014953415699773e-05,"",""
6000,"2024-08-13 20:42:22.137100","train",1,0.32821279764175415,6.171977035100049e-05,"",""
6120,"2024-08-13 20:43:46.151199","train",1,0.35071778297424316,6.326793063234037e-05,"",""
6240,"2024-08-13 20:45:10.127696","train",1,0.3247319459915161,6.479172427868347e-05,"",""
6360,"2024-08-13 20:46:34.242642","train",1,0.2771120071411133,6.628889662158247e-05,"",""
6480,"2024-08-13 20:47:58.377498","train",1,0.31569886207580566,6.775723238257753e-05,"",""
6534,"2024-08-13 21:19:36.904427","train",1,"","",0.5637117039535791,0.720405810007744
6534,"2024-08-13 21:23:03.088816","val",1,"","",0.565569151649683,0.721901740949875
6600,"2024-08-13 21:23:51.347562","train",2,0.3050006926059723,6.919455895101469e-05,"",""
6720,"2024-08-13 21:25:15.210793","train",2,0.25994956493377686,7.059874959873083e-05,"",""
6840,"2024-08-13 21:26:39.158871","train",2,0.28554797172546387,7.196772662684911e-05,"",""
6960,"2024-08-13 21:28:03.122523","train",2,0.27168184518814087,7.329946444002864e-05,"",""
7080,"2024-08-13 21:29:27.111141","train",2,0.2779795825481415,7.459199254361955e-05,"",""
7200,"2024-08-13 21:30:51.125260","train",2,0.2478833645582199,7.584339845928889e-05,"",""
7320,"2024-08-13 21:32:15.225180","train",2,0.23377197980880737,7.705183055480301e-05,"",""
7440,"2024-08-13 21:33:39.276318","train",2,0.2319202423095703,7.821550078377973e-05,"",""
7560,"2024-08-13 21:35:03.369166","train",2,0.2211817502975464,7.9332687331356e-05,"",""
7680,"2024-08-13 21:36:27.342338","train",2,0.23742318153381348,8.040173716185686e-05,"",""
7800,"2024-08-13 21:37:51.348640","train",2,0.24448162317276,8.142106846469572e-05,"",""
7920,"2024-08-13 21:39:15.349578","train",2,0.20532727241516113,8.238917299488719e-05,"",""
8040,"2024-08-13 21:40:39.363830","train",2,0.21395152807235718,8.330461830470885e-05,"",""
8160,"2024-08-13 21:42:03.331085","train",2,0.17925843596458435,8.416604986321076e-05,"",""
8280,"2024-08-13 21:43:27.292536","train",2,0.24559089541435242,8.497219306043558e-05,"",""
8400,"2024-08-13 21:44:51.262450","train",2,0.19656816124916077,8.57218550933845e-05,"",""
8520,"2024-08-13 21:46:15.194184","train",2,0.23506353795528412,8.641392673093827e-05,"",""
8640,"2024-08-13 21:47:39.341750","train",2,0.22952592372894287,8.704738395512154e-05,"",""
8760,"2024-08-13 21:49:03.370502","train",2,0.1979108303785324,8.762128947628254e-05,"",""
8880,"2024-08-13 21:50:27.374246","train",2,0.25424709916114807,8.813479411994582e-05,"",""
9000,"2024-08-13 21:51:51.362367","train",2,0.2069665640592575,8.858713808328608e-05,"",""
9120,"2024-08-13 21:53:15.442700","train",2,0.16685602068901062,8.897765205936402e-05,"",""
9240,"2024-08-13 21:54:39.551568","train",2,0.19191257655620575,8.930575822746081e-05,"",""
9360,"2024-08-13 21:56:03.677767","train",2,0.23837046325206757,8.957097110804552e-05,"",""
9480,"2024-08-13 21:57:27.838335","train",2,0.17899683117866516,8.977289828111096e-05,"",""
9600,"2024-08-13 21:58:51.869044","train",2,0.2023557871580124,8.991124096681454e-05,"",""
9720,"2024-08-13 22:00:15.926360","train",2,0.19367194175720215,8.998579446756537e-05,"",""
9801,"2024-08-13 22:31:52.487293","train",2,"","",0.5702119203626277,0.7257357105626439
9801,"2024-08-13 22:35:16.959243","val",2,"","",0.5717227299791591,0.7269352520194301
9840,"2024-08-13 22:35:46.833543","train",3,0.2230248898267746,8.999932063203034e-05,"",""
9960,"2024-08-13 22:37:10.737883","train",3,0.17603842914104462,8.998913052274055e-05,"",""
10080,"2024-08-13 22:38:34.751020","train",3,0.19848155975341797,8.996671498985383e-05,"",""
10200,"2024-08-13 22:39:58.843653","train",3,0.165067657828331,8.993208012462999e-05,"",""
10320,"2024-08-13 22:41:22.843083","train",3,0.19946341216564178,8.988523533884441e-05,"",""
10440,"2024-08-13 22:42:46.956317","train",3,0.18183569610118866,8.982619336223061e-05,"",""
10560,"2024-08-13 22:44:11.044945","train",3,0.20539504289627075,8.975497023902087e-05,"",""
10680,"2024-08-13 22:45:35.063281","train",3,0.20247015357017517,8.96715853235865e-05,"",""
10800,"2024-08-13 22:46:59.066921","train",3,0.16517573595046997,8.957606127517825e-05,"",""
10920,"2024-08-13 22:48:23.061201","train",3,0.1627345085144043,8.946842405176896e-05,"",""
11040,"2024-08-13 22:49:47.144643","train",3,0.19370785355567932,8.934870290299964e-05,"",""
11160,"2024-08-13 22:51:11.255101","train",3,0.14626574516296387,8.921693036223102e-05,"",""
11280,"2024-08-13 22:52:35.235525","train",3,0.17238813638687134,8.907314223770289e-05,"",""
11400,"2024-08-13 22:53:59.347493","train",3,0.16847831010818481,8.891737760280355e-05,"",""
11520,"2024-08-13 22:55:23.437382","train",3,0.1648133099079132,8.874967878545173e-05,"",""
11640,"2024-08-13 22:56:47.537598","train",3,0.19994406402111053,8.857009135659442e-05,"",""
11760,"2024-08-13 22:58:11.648829","train",3,0.16904756426811218,8.837866411782323e-05,"",""
11880,"2024-08-13 22:59:35.857226","train",3,0.15507540106773376,8.817544908811292e-05,"",""
12000,"2024-08-13 23:00:59.987067","train",3,0.16634273529052734,8.796050148968563e-05,"",""
12120,"2024-08-13 23:02:24.046633","train",3,0.1768072545528412,8.773387973300462e-05,"",""
12240,"2024-08-13 23:03:48.139202","train",3,0.1631939709186554,8.749564540090168e-05,"",""
12360,"2024-08-13 23:05:12.219157","train",3,0.1919989287853241,8.72458632318424e-05,"",""
