"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
530,"2024-08-09 00:02:41.342661","train",0,2.232259750366211,1.7037972250077857e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
540,"2024-08-09 00:02:58.622430","train",0,2.1529922485351562,1.7509914783762342e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
550,"2024-08-09 00:03:15.684113","train",0,2.1396727561950684,1.798885339164376e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
560,"2024-08-09 00:03:34.468535","train",0,2.1518988609313965,1.847469092435248e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
570,"2024-08-09 00:03:50.537199","train",0,2.102567195892334,1.8967328833119937e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
580,"2024-08-09 00:04:07.436117","train",0,2.0631332397460938,1.9466667189768473e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
590,"2024-08-09 00:04:26.562212","train",0,2.105133533477783,1.997260470698119e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600,"2024-08-09 00:04:42.028521","train",0,2.0791995525360107,2.0485038758847224e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
610,"2024-08-09 00:04:58.591831","train",0,1.9810293912887573,2.100386540167888e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
620,"2024-08-09 00:05:14.743524","train",0,1.932192087173462,2.1528979395095732e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
630,"2024-08-09 00:05:32.229427","train",0,1.9947630167007446,2.2060274223371958e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
640,"2024-08-09 00:05:49.822081","train",0,1.922306776046753,2.2597642117042372e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
650,"2024-08-09 00:06:06.036527","train",0,1.9198479652404785,2.3140974074762594e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
660,"2024-08-09 00:06:23.019038","train",0,1.8531863689422607,2.3690159885419342e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
670,"2024-08-09 00:06:40.331589","train",0,1.9213643074035645,2.424508815048589e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
680,"2024-08-09 00:06:54.911921","train",0,1.8409922122955322,2.4805646306618552e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
