"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
1800,"2024-08-09 13:15:19.795679","train",1,1.111839771270752,2.6815538653497145e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1840,"2024-08-09 13:16:34.893917","train",1,1.0879406929016113,2.77364190273165e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1880,"2024-08-09 13:17:53.498238","train",1,1.1099207401275635,2.8664325248226113e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1920,"2024-08-09 13:18:51.344092","train",1,1.055358648300171,2.9598504818241304e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1960,"2024-08-09 13:19:48.448276","train",1,0.9192169904708862,3.053820015192084e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2000,"2024-08-09 13:20:50.113535","train",1,0.868962824344635,3.148264919074102e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2040,"2024-08-09 13:21:49.865482","train",1,0.8802141547203064,3.24310860210973e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2080,"2024-08-09 13:22:51.883053","train",1,0.8321174383163452,3.338274149543209e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2120,"2024-08-09 13:23:53.366459","train",1,0.7687076926231384,3.4336843855985385e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2160,"2024-08-09 13:24:55.609754","train",1,0.7668026685714722,3.529261936066198e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
